year,event_type,n_events
1995,appointment,1283
1995,departure,1341
1996,appointment,2724
1996,departure,1875
1997,appointment,3322
1997,departure,2164
1998,appointment,3923
1998,departure,2772
1999,appointment,4760
1999,departure,3510
2000,appointment,6026
2000,departure,4729
2001,appointment,6020
2001,departure,4672
2002,appointment,5847
2002,departure,4697
2003,appointment,5808
2003,departure,4965
2004,appointment,6717
2004,departure,5794
2005,appointment,7638
2005,departure,6874
2006,appointment,8300
2006,departure,7370
2007,appointment,8512
2007,departure,7505
2008,appointment,8368
2008,departure,7772
2009,appointment,6682
2009,departure,6837
2010,appointment,6923
2010,departure,6241
2011,appointment,7038
2011,departure,6551
2012,appointment,7031
2012,departure,7092
2013,appointment,7300
2013,departure,7233
2014,appointment,7487
2014,departure,7588
2015,appointment,7566
2015,departure,7926
2016,appointment,7019
2016,departure,7475
2017,appointment,6678
2017,departure,7184
2018,appointment,6767
2018,departure,7034
2019,appointment,6709
2019,departure,7131
2020,appointment,6066
2020,departure,6894
2021,appointment,6550
2021,departure,6935
2022,appointment,6424
2022,departure,7717
2023,appointment,5528
2023,departure,7240
2024,appointment,4897
2024,departure,6195
