event_type,event_day,ocf_bucket,mean_car,n_events
appointment,1,1,0.0014689262672811058,34069
appointment,1,2,0.0009982717582854865,35182
appointment,1,3,0.001102030306066222,39926
appointment,1,4,0.0016895551626591229,43834
appointment,1,5,0.001783171456375634,32883
appointment,2,1,0.0018748318655188291,34069
appointment,2,2,0.00112373242964762,35178
appointment,2,3,0.0015940492003278304,39923
appointment,2,4,0.0020022012770791174,43833
appointment,2,5,0.0016391741522390041,32882
appointment,3,1,0.0025469915123220387,34063
appointment,3,2,0.0017226819752871562,35177
appointment,3,3,0.002006001323014018,39923
appointment,3,4,0.0027856509347214367,43833
appointment,3,5,0.0025086399638333977,32882
appointment,4,1,0.003962472170825367,34063
appointment,4,2,0.002055773618416575,35177
appointment,4,3,0.002368633118958563,39923
appointment,4,4,0.0028711344095432864,43831
appointment,4,5,0.0028060651309159803,32880
appointment,5,1,0.0042359587661388,34063
appointment,5,2,0.0027784667126769576,35175
appointment,5,3,0.0031094340747923263,39923
appointment,5,4,0.0033716427802886555,43826
appointment,5,5,0.004132446651442408,32880
appointment,6,1,0.004101915084271064,34063
appointment,6,2,0.0028901348703295445,35175
appointment,6,3,0.0030041145111651185,39923
appointment,6,4,0.002690947000188739,43825
appointment,6,5,0.0052273308167634725,32877
appointment,7,1,0.004728005952114891,34063
appointment,7,2,0.003248131190918001,35174
appointment,7,3,0.003159514571131095,39923
appointment,7,4,0.002872756812620231,43823
appointment,7,5,0.004479860899086816,32874
appointment,8,1,0.004753885682152349,34062
appointment,8,2,0.0030548772258230344,35174
appointment,8,3,0.0031459535729326895,39922
appointment,8,4,0.0032444684922610036,43822
appointment,8,5,0.005082440947728363,32868
appointment,9,1,0.005507312839085892,34062
appointment,9,2,0.003273297325467178,35174
appointment,9,3,0.00370730235271584,39920
appointment,9,4,0.0038926037436916782,43818
appointment,9,5,0.005912415938914351,32865
appointment,10,1,0.005463378334265334,34061
appointment,10,2,0.003403982250339819,35172
appointment,10,3,0.0034743897937942717,39920
appointment,10,4,0.003940838967654999,43816
appointment,10,5,0.005918047999816372,32860
appointment,11,1,0.006850630926650381,34054
appointment,11,2,0.005334092616977544,35168
appointment,11,3,0.004626217977006402,39919
appointment,11,4,0.005588722694030891,43810
appointment,11,5,0.007674409136651985,32855
appointment,12,1,0.006315948999488307,34053
appointment,12,2,0.005066343332528894,35164
appointment,12,3,0.004154553264429297,39918
appointment,12,4,0.005555193790818403,43807
appointment,12,5,0.008543616843131117,32846
appointment,13,1,0.005784282901007377,34053
appointment,13,2,0.004520054424429892,35161
appointment,13,3,0.003215714196230998,39918
appointment,13,4,0.0047333513142436105,43805
appointment,13,5,0.007379679152384142,32840
appointment,14,1,0.0059290588842512175,34050
appointment,14,2,0.005371546195485758,35161
appointment,14,3,0.0029009786034284494,39914
appointment,14,4,0.0037144710412364865,43804
appointment,14,5,0.007580094813555993,32837
appointment,15,1,0.006003001514052972,34050
appointment,15,2,0.005698475502438259,35161
appointment,15,3,0.003666258399840278,39912
appointment,15,4,0.0047459364650078665,43799
appointment,15,5,0.00803890462459709,32836
appointment,16,1,0.005952404912050414,34050
appointment,16,2,0.0059825420287333815,35158
appointment,16,3,0.003714377235972744,39909
appointment,16,4,0.005306803815935571,43793
appointment,16,5,0.008176835105449646,32832
appointment,17,1,0.0061905096440432955,34050
appointment,17,2,0.006088691132922947,35152
appointment,17,3,0.00427494512104319,39906
appointment,17,4,0.004911088811748803,43792
appointment,17,5,0.00851475996104032,32831
appointment,18,1,0.0071901973351893335,34047
appointment,18,2,0.007578142152865159,35145
appointment,18,3,0.005492307140783272,39902
appointment,18,4,0.005912175047881881,43791
appointment,18,5,0.009421234340018682,32829
appointment,19,1,0.007726661855066265,34046
appointment,19,2,0.00793318381048462,35142
appointment,19,3,0.005775623209834636,39895
appointment,19,4,0.006117658108420997,43791
appointment,19,5,0.010078156942327703,32823
appointment,20,1,0.009397918824973378,34041
appointment,20,2,0.009416884300885402,35141
appointment,20,3,0.007164086220910392,39890
appointment,20,4,0.007096497659103262,43787
appointment,20,5,0.011028312261501659,32817
appointment,21,1,0.010720991640246065,34036
appointment,21,2,0.010495267767552816,35135
appointment,21,3,0.008529135898467398,39883
appointment,21,4,0.008608517824227984,43782
appointment,21,5,0.012682515502326033,32812
appointment,22,1,0.012374140511843401,34002
appointment,22,2,0.012482439220995054,35121
appointment,22,3,0.010209308529394862,39865
appointment,22,4,0.010559021227427553,43751
appointment,22,5,0.013808309458365312,32797
appointment,23,1,0.012369911454401968,34001
appointment,23,2,0.011969737795700859,35120
appointment,23,3,0.009839324458926461,39865
appointment,23,4,0.009339318116567906,43746
appointment,23,5,0.013596235510267172,32792
appointment,24,1,0.012714411381200122,34000
appointment,24,2,0.012234363307686675,35118
appointment,24,3,0.01011422161995557,39863
appointment,24,4,0.00992244610223012,43743
appointment,24,5,0.014146410326322911,32792
appointment,25,1,0.013408714486370703,33995
appointment,25,2,0.012937854431567863,35116
appointment,25,3,0.01041093839044037,39858
appointment,25,4,0.009876482038481639,43739
appointment,25,5,0.01394196226330015,32786
appointment,26,1,0.01449542690412015,33992
appointment,26,2,0.013931243444349293,35115
appointment,26,3,0.011046944404452495,39857
appointment,26,4,0.010680860397062859,43734
appointment,26,5,0.014614135623823774,32776
appointment,27,1,0.014323564399778818,33989
appointment,27,2,0.013555228917579775,35114
appointment,27,3,0.010628046398820545,39854
appointment,27,4,0.0105077399104972,43729
appointment,27,5,0.014395808451272907,32771
appointment,28,1,0.014589220487696442,33986
appointment,28,2,0.014059795310297819,35110
appointment,28,3,0.011115801630699583,39852
appointment,28,4,0.011089579546419719,43725
appointment,28,5,0.014591806099300053,32768
appointment,29,1,0.016112840931320378,33984
appointment,29,2,0.014929152126642734,35109
appointment,29,3,0.012503051540724742,39850
appointment,29,4,0.011616974575625291,43718
appointment,29,5,0.014336622693444254,32763
appointment,30,1,0.01670165208744969,33982
appointment,30,2,0.015466284264014002,35104
appointment,30,3,0.01290991028566262,39848
appointment,30,4,0.0122194255034043,43709
appointment,30,5,0.014876334353050526,32759
appointment,31,1,0.018302723791885408,33979
appointment,31,2,0.016938647260259863,35101
appointment,31,3,0.014247779290084544,39841
appointment,31,4,0.013820928165207592,43706
appointment,31,5,0.016455157275876237,32749
appointment,32,1,0.019417546076814445,33978
appointment,32,2,0.017798140567353935,35099
appointment,32,3,0.015303871492200234,39838
appointment,32,4,0.01484765598577956,43702
appointment,32,5,0.017531401134526302,32740
appointment,33,1,0.019417988850587747,33977
appointment,33,2,0.01778638374293328,35094
appointment,33,3,0.015225289637457161,39834
appointment,33,4,0.014577063755926755,43696
appointment,33,5,0.017667647028586093,32735
appointment,34,1,0.01919318729781505,33973
appointment,34,2,0.01759408924415434,35090
appointment,34,3,0.014600540763337064,39833
appointment,34,4,0.01424941216274667,43692
appointment,34,5,0.017617864700924423,32725
appointment,35,1,0.017461939438188405,33972
appointment,35,2,0.015705651893998168,35087
appointment,35,3,0.013160625965520163,39830
appointment,35,4,0.012181500158618333,43688
appointment,35,5,0.016601034283844324,32718
appointment,36,1,0.01836507484806441,33966
appointment,36,2,0.01671171243142333,35082
appointment,36,3,0.013922821241168249,39823
appointment,36,4,0.01258318058232685,43687
appointment,36,5,0.01716089089393064,32708
appointment,37,1,0.01795337662269858,33962
appointment,37,2,0.01664077932803376,35076
appointment,37,3,0.013845511333950988,39822
appointment,37,4,0.012724659449555205,43686
appointment,37,5,0.017071251967512385,32702
appointment,38,1,0.01922572511086854,33958
appointment,38,2,0.017864830003014205,35073
appointment,38,3,0.014898523260173557,39820
appointment,38,4,0.013199100192713996,43679
appointment,38,5,0.017762512606019312,32695
appointment,39,1,0.019687723290296236,33957
appointment,39,2,0.017967783671461738,35069
appointment,39,3,0.015120588480676343,39819
appointment,39,4,0.013529256734730464,43676
appointment,39,5,0.0182885248893923,32690
appointment,40,1,0.019846982955249448,33954
appointment,40,2,0.018411099472722015,35061
appointment,40,3,0.014757226615624227,39811
appointment,40,4,0.013151854920044437,43673
appointment,40,5,0.017905700336492997,32686
appointment,41,1,0.020886699937934804,33917
appointment,41,2,0.019307411234722422,35027
appointment,41,3,0.015710002037496958,39781
appointment,41,4,0.013698366844112436,43640
appointment,41,5,0.019275942362879526,32666
appointment,42,1,0.02154935941768849,33916
appointment,42,2,0.020862877836164095,35026
appointment,42,3,0.017087029982809084,39777
appointment,42,4,0.01552447851046408,43635
appointment,42,5,0.020341684915693624,32661
appointment,43,1,0.02227073730032577,33910
appointment,43,2,0.021787655291374823,35021
appointment,43,3,0.017487082988184674,39776
appointment,43,4,0.016551041053111445,43633
appointment,43,5,0.02132075115407813,32655
appointment,44,1,0.021828904313815886,33909
appointment,44,2,0.02141915917410489,35019
appointment,44,3,0.017266016924108948,39773
appointment,44,4,0.016862291325110246,43629
appointment,44,5,0.022062661824051893,32652
appointment,45,1,0.021808334724596777,33906
appointment,45,2,0.021711234833778414,35015
appointment,45,3,0.017633926881844505,39770
appointment,45,4,0.016985323743539844,43619
appointment,45,5,0.022266045321229378,32649
appointment,46,1,0.0223400536528094,33905
appointment,46,2,0.022160189062181798,35013
appointment,46,3,0.018429944183698335,39763
appointment,46,4,0.01814265863945275,43610
appointment,46,5,0.022821146148158944,32641
appointment,47,1,0.022644647033697667,33903
appointment,47,2,0.022645476839574054,35013
appointment,47,3,0.01869498314274401,39760
appointment,47,4,0.017875722102084535,43610
appointment,47,5,0.022944592990525127,32636
appointment,48,1,0.022316230163533242,33901
appointment,48,2,0.02213708411141638,35011
appointment,48,3,0.018049490409587282,39758
appointment,48,4,0.01702431050588807,43608
appointment,48,5,0.022275449246185106,32630
appointment,49,1,0.02202420528192693,33899
appointment,49,2,0.021649121910331318,35011
appointment,49,3,0.01862641113437621,39756
appointment,49,4,0.017171219912829983,43605
appointment,49,5,0.022264082104487562,32626
appointment,50,1,0.022628077064788126,33898
appointment,50,2,0.02162508725345302,35008
appointment,50,3,0.019283849084692283,39751
appointment,50,4,0.017330307426731265,43596
appointment,50,5,0.021945361434960377,32622
appointment,51,1,0.022765692566379017,33897
appointment,51,2,0.021826134017583425,35004
appointment,51,3,0.019343367782828247,39748
appointment,51,4,0.017855669117876862,43589
appointment,51,5,0.02133882999777058,32614
appointment,52,1,0.024589130408204,33889
appointment,52,2,0.023513185525896388,35003
appointment,52,3,0.02087939872297071,39746
appointment,52,4,0.018689744159512772,43588
appointment,52,5,0.021804327194234963,32612
appointment,53,1,0.02506234084644199,33884
appointment,53,2,0.0244563795253039,34999
appointment,53,3,0.021267050171523014,39744
appointment,53,4,0.019851400313116045,43583
appointment,53,5,0.02268210807614243,32607
appointment,54,1,0.025113640858940536,33884
appointment,54,2,0.024163412053879077,34995
appointment,54,3,0.021334743722238137,39743
appointment,54,4,0.019016844165201458,43580
appointment,54,5,0.02189582450605972,32599
appointment,55,1,0.02555547355144802,33883
appointment,55,2,0.02464381203754177,34990
appointment,55,3,0.021924999932784645,39737
appointment,55,4,0.019883708516978304,43575
appointment,55,5,0.022081669713403876,32597
appointment,56,1,0.024369969254218544,33883
appointment,56,2,0.023581371536827215,34984
appointment,56,3,0.021122742953314417,39732
appointment,56,4,0.019014718090243427,43571
appointment,56,5,0.022547451966978608,32589
appointment,57,1,0.025282227606548364,33882
appointment,57,2,0.024806824293785258,34984
appointment,57,3,0.021925182315760124,39729
appointment,57,4,0.019523006753790578,43560
appointment,57,5,0.02271789890606477,32587
appointment,58,1,0.02719450886160681,33881
appointment,58,2,0.026221073709231078,34982
appointment,58,3,0.022916996433236345,39726
appointment,58,4,0.020899369111713285,43554
appointment,58,5,0.02351518489111937,32581
appointment,59,1,0.02706422628624026,33880
appointment,59,2,0.026419889904685835,34979
appointment,59,3,0.023152329034476938,39722
appointment,59,4,0.020855173875691774,43552
appointment,59,5,0.023615508362035388,32578
appointment,60,1,0.02806813609164168,33877
appointment,60,2,0.026582130080650617,34977
appointment,60,3,0.023214084043756873,39716
appointment,60,4,0.02090363433233835,43542
appointment,60,5,0.023844128279571813,32572
departure,1,1,0.0006826384993407644,33372
departure,1,2,0.0007713545773618014,34190
departure,1,3,0.0005099182456230551,38897
departure,1,4,0.0008802278408820872,42082
departure,1,5,0.00047464601651117395,29798
departure,2,1,0.001532633798015555,33364
departure,2,2,0.0011731987683807179,34188
departure,2,3,0.0019699451293743015,38891
departure,2,4,0.0029307998869696245,42074
departure,2,5,0.000926483966032122,29790
departure,3,1,0.0020722493429271736,32955
departure,3,2,0.0020763134895070345,33931
departure,3,3,0.002448994804333709,38688
departure,3,4,0.002818995873207895,41910
departure,3,5,0.002226043146175896,29714
departure,4,1,0.003920687046561109,32954
departure,4,2,0.00365826233820952,33928
departure,4,3,0.00357975771525425,38663
departure,4,4,0.004669875463825012,41895
departure,4,5,0.004127298893611375,29700
departure,5,1,0.003499561714426346,32951
departure,5,2,0.004232666484089078,33924
departure,5,3,0.0038782673512350297,38655
departure,5,4,0.003985212854579846,41888
departure,5,5,0.004902151347925089,29688
departure,6,1,0.004220635066383719,32951
departure,6,2,0.0050694159299915316,33922
departure,6,3,0.0044527340251706085,38654
departure,6,4,0.005213601020071469,41885
departure,6,5,0.005406737499030104,29679
departure,7,1,0.004250586862389033,32951
departure,7,2,0.0053685446943280484,33921
departure,7,3,0.003943818378576577,38652
departure,7,4,0.004954333052584096,41877
departure,7,5,0.00544522506202047,29665
departure,8,1,0.0055654859111341345,32949
departure,8,2,0.0062896681742392255,33916
departure,8,3,0.004897682397600629,38649
departure,8,4,0.005781832197882519,41869
departure,8,5,0.006958824496447561,29652
departure,9,1,0.00571440562588178,32949
departure,9,2,0.006579524267520777,33912
departure,9,3,0.004895948452779311,38648
departure,9,4,0.005910555170690217,41862
departure,9,5,0.007452550278081567,29645
departure,10,1,0.006005224538276624,32949
departure,10,2,0.006411030014491198,33909
departure,10,3,0.004464018687021711,38645
departure,10,4,0.00575861673632019,41853
departure,10,5,0.007425374038073124,29633
departure,11,1,0.005895095316547554,32946
departure,11,2,0.006601403762003104,33904
departure,11,3,0.004132435515035288,38644
departure,11,4,0.006332510718405929,41846
departure,11,5,0.007324241985230235,29619
departure,12,1,0.007063120680849258,32946
departure,12,2,0.007760574641950857,33899
departure,12,3,0.0049050665356384,38644
departure,12,4,0.0076741304717130795,41839
departure,12,5,0.008278794982995502,29608
departure,13,1,0.006711258778186244,32946
departure,13,2,0.007718491386430163,33895
departure,13,3,0.004582107774027807,38642
