event_year,event_type,n_events_with_cik,n_with_nearby_sec_filing,median_days_to_filing
1995,appointment,19,2,0.5
1995,departure,57,6,-6.0
1996,appointment,486,151,0.0
1996,departure,596,249,-3.0
1997,appointment,1353,625,0.0
1997,departure,886,389,-2.0
1998,appointment,1516,721,2.0
1998,departure,1099,539,-1.0
1999,appointment,1753,846,0.0
1999,departure,1353,637,1.0
2000,appointment,2230,1135,1.0
2000,departure,1838,944,0.0
2001,appointment,2065,1111,1.0
2001,departure,1633,869,-1.0
2002,appointment,1942,1096,1.0
2002,departure,1569,980,0.0
2003,appointment,1941,1434,1.0
2003,departure,1602,1270,0.0
2004,appointment,2244,1890,1.0
2004,departure,1812,1580,0.0
2005,appointment,2540,2276,1.0
2005,departure,2166,1944,0.0
2006,appointment,2618,2346,0.0
2006,departure,2328,2125,-1.0
2007,appointment,2850,2547,0.0
2007,departure,2469,2225,0.0
2008,appointment,2801,2509,0.0
2008,departure,2581,2295,0.0
2009,appointment,2519,2210,1.0
2009,departure,2380,2052,0.0
2010,appointment,2722,2350,0.0
2010,departure,2331,2054,0.0
2011,appointment,2771,2450,0.0
2011,departure,2532,2235,0.0
2012,appointment,2829,2510,0.0
2012,departure,2830,2427,0.0
2013,appointment,2917,2574,0.0
2013,departure,2859,2449,0.0
2014,appointment,2894,2590,0.0
2014,departure,3007,2638,0.0
2015,appointment,2721,2474,0.0
2015,departure,3054,2752,0.0
2016,appointment,2590,2374,0.0
2016,departure,2849,2562,0.0
2017,appointment,2510,2255,0.0
2017,departure,2738,2493,0.0
2018,appointment,2372,2160,0.0
2018,departure,2699,2439,0.0
2019,appointment,2331,2086,0.0
2019,departure,2611,2330,0.0
2020,appointment,1995,1815,0.0
2020,departure,2523,2277,0.0
2021,appointment,1922,1707,0.0
2021,departure,2375,2194,0.0
2022,appointment,1729,1562,0.0
2022,departure,2376,2152,0.0
2023,appointment,1387,1278,0.0
2023,departure,2178,1915,0.0
2024,appointment,1180,1021,0.0
2024,departure,1813,1600,0.0
