date,n_permno,n_obs
1995-01-31,2258,2258
1995-02-28,2269,2269
1995-03-31,2277,2277
1995-04-28,2290,2290
1995-05-31,2298,2298
1995-06-30,2317,2317
1995-07-31,2329,2329
1995-08-31,2344,2344
1995-09-29,2353,2353
1995-10-31,2381,2381
1995-11-30,2417,2417
1995-12-29,2447,2447
1996-01-31,2459,2459
1996-02-29,2484,2484
1996-03-29,2500,2500
1996-04-30,2524,2524
1996-05-31,2551,2551
1996-06-28,2584,2584
1996-07-31,2603,2603
1996-08-30,2631,2631
1996-09-30,2652,2652
1996-10-31,2684,2684
1996-11-29,2712,2712
1996-12-31,2727,2727
1997-01-31,2746,2746
1997-02-28,2767,2767
1997-03-31,2779,2779
1997-04-30,2794,2794
1997-05-30,2808,2808
1997-06-30,2827,2827
1997-07-31,2849,2849
1997-08-29,2866,2866
1997-09-30,2884,2884
1997-10-31,2913,2913
1997-11-28,2938,2938
1997-12-31,2954,2954
1998-01-30,2977,2977
1998-02-27,2994,2994
1998-03-31,3011,3011
1998-04-30,3037,3037
1998-05-29,3055,3055
1998-06-30,3082,3082
1998-07-31,3107,3107
1998-08-31,3117,3117
1998-09-30,3120,3120
1998-10-30,3122,3122
1998-11-30,3126,3126
1998-12-31,3136,3136
1999-01-29,3149,3149
1999-02-26,3167,3167
1999-03-31,3173,3173
1999-04-30,3187,3187
1999-05-28,3200,3200
1999-06-30,3225,3225
1999-07-30,3256,3256
1999-08-31,3278,3278
1999-09-30,3288,3288
1999-10-29,3318,3318
1999-11-30,3342,3342
1999-12-31,3365,3365
2000-01-31,3374,3374
2000-02-29,3409,3409
2000-03-31,3429,3429
2000-04-28,3460,3460
2000-05-31,3470,3470
2000-06-30,3498,3498
2000-07-31,3526,3526
2000-08-31,3560,3560
2000-09-29,3575,3575
2000-10-31,3587,3587
2000-11-30,3600,3600
2000-12-29,3608,3608
2001-01-31,3609,3609
2001-02-28,3617,3617
2001-03-30,3627,3627
2001-04-30,3626,3626
2001-05-31,3634,3634
2001-06-29,3645,3645
2001-07-31,3654,3654
2001-08-31,3659,3659
2001-09-28,3664,3664
2001-10-31,3670,3670
2001-11-30,3685,3685
2001-12-31,3695,3695
2002-01-31,3702,3702
2002-02-28,3709,3709
2002-03-28,3718,3718
2002-04-30,3724,3724
2002-05-31,3734,3734
2002-06-28,3744,3744
2002-07-31,3750,3750
2002-08-30,3752,3752
2002-09-30,3754,3754
2002-10-31,3764,3764
2002-11-29,3775,3775
2002-12-31,3785,3785
2003-01-31,3796,3796
