feature,mean_abs_contribution,mean_signed_contribution,source
ocf,0.0006696567578047712,-3.2759429534540514e-05,shap
team_size,0.0018201536366581545,0.00036696318252298126,shap
key_person_concentration,0.0020279988998416513,-0.00031532174821708093,shap
succession_depth_gap,0.0006673615740063033,-0.0003929737794995302,shap
external_load,0.0009640577668000228,0.00027762444170891914,shap
poaching_pressure,0.000584707714484684,0.00024881528154447653,shap
bench_depth,0.0005146162866507541,5.152463809886636e-05,shap
team_cohesion_decay,0.0003172174176906842,2.26257683629334e-05,shap
size,0.006890518250287556,-0.0013325143607712002,shap
bm,0.00381122534719612,8.844771930421171e-05,shap
momentum,0.002963349189665942,9.85432130091091e-05,shap
profitability,0.0010593552235501407,-4.400535605852388e-05,shap
investment,0.0021647952166181234,0.0008816603619709632,shap
leverage,0.00024003552546495748,-3.6067324601966825e-05,shap
intangibility,0.0013455176849019772,0.00024585991456000864,shap
analyst_coverage,0.0011700302159356915,0.00023396259944151332,shap
forecast_dispersion,0.0016791367202089568,0.00029721470608885705,shap
